"","X","title","description","termsOfService","contact","license","version","used.keys","missing.keys","pam_fit$clustering"
"314","azure.com:cosmos-db",1,1,0,0,0,1,3,3,3
"315","azure.com:customer-insights",1,1,0,0,0,1,3,3,3
"316","azure.com:datacatalog",1,1,0,0,0,1,3,3,3
"317","azure.com:datafactory",1,0,0,0,0,1,2,4,3
"318","azure.com:datalake-analytics-account",1,1,0,0,0,1,3,3,3
"319","azure.com:datalake-analytics-catalog",1,1,0,0,0,1,3,3,3
"320","azure.com:datalake-analytics-job",1,1,0,0,0,1,3,3,3
"321","azure.com:datalake-store-account",1,1,0,0,0,1,3,3,3
"322","azure.com:datalake-store-filesystem",1,1,0,0,0,1,3,3,3
"323","azure.com:datamigration",1,1,0,0,0,1,3,3,3
"324","azure.com:deviceprovisioningservices-iotdps",1,1,0,0,0,1,3,3,3
"325","azure.com:devtestlabs-DTL",1,1,0,0,0,1,3,3,3
"326","azure.com:dns",1,1,0,0,0,1,3,3,3
"327","azure.com:domainservices",1,1,0,0,0,1,3,3,3
"328","azure.com:eventgrid-EventGrid",1,1,0,0,0,1,3,3,3
"329","azure.com:eventhub-EventHub",1,1,0,0,0,1,3,3,3
"330","azure.com:hanaonazure",1,1,0,0,0,1,3,3,3
"331","azure.com:hdinsight-applications",1,1,0,0,0,1,3,3,3
"332","azure.com:hdinsight-capabilities",1,1,0,0,0,1,3,3,3
"333","azure.com:hdinsight-cluster",1,1,0,0,0,1,3,3,3
"334","azure.com:hdinsight-configurations",1,1,0,0,0,1,3,3,3
"335","azure.com:hdinsight-extensions",1,1,0,0,0,1,3,3,3
"336","azure.com:hdinsight-operations",1,1,0,0,0,1,3,3,3
"337","azure.com:hdinsight-scriptActions",1,1,0,0,0,1,3,3,3
"338","azure.com:intune",1,1,0,0,0,1,3,3,3
"339","azure.com:iothub",1,1,0,0,0,1,3,3,3
"340","azure.com:keyvault",1,1,0,0,0,1,3,3,3
"341","azure.com:keyvault-providers",1,1,0,0,0,1,3,3,3
"342","azure.com:keyvault-secrets",1,1,0,0,0,1,3,3,3
"343","azure.com:locationbasedservices",1,1,0,0,0,1,3,3,3
"344","azure.com:logic",1,1,0,0,0,1,3,3,3
"345","azure.com:machinelearning-commitmentPlans",1,1,0,0,0,1,3,3,3
"346","azure.com:machinelearning-webservices",1,1,0,0,0,1,3,3,3
"347","azure.com:machinelearning-workspaces",1,1,0,0,0,1,3,3,3
"348","azure.com:machinelearningcompute-machineLearningCompute",1,1,0,0,0,1,3,3,3
"349","azure.com:machinelearningexperimentation-machineLearningExperimentation",1,1,0,0,0,1,3,3,3
"350","azure.com:managementgroups-management",1,1,0,0,0,1,3,3,3
"351","azure.com:managementpartner-ManagementPartner",1,1,0,0,0,1,3,3,3
"352","azure.com:marketplaceordering-Agreements",1,1,0,0,0,1,3,3,3
"353","azure.com:mediaservices-media",1,1,0,0,0,1,3,3,3
"354","azure.com:migrate",1,1,0,1,0,1,4,2,1
"355","azure.com:mobileengagement-mobile-engagement",1,1,0,0,0,1,3,3,3
"356","azure.com:monitor-actionGroups_API",1,0,0,0,0,1,2,4,3
"357","azure.com:monitor-activityLogAlerts_API",1,0,0,0,0,1,2,4,3
"358","azure.com:monitor-activityLogs_API",1,0,0,0,0,1,2,4,3
"359","azure.com:monitor-alertRulesIncidents_API",1,0,0,0,0,1,2,4,3
"360","azure.com:monitor-alertRules_API",1,0,0,0,0,1,2,4,3
"361","azure.com:monitor-autoscale_API",1,0,0,0,0,1,2,4,3
"362","azure.com:monitor-baseline_API",1,0,0,0,0,1,2,4,3
"363","azure.com:monitor-calculateBaseline_API",1,0,0,0,0,1,2,4,3
"364","azure.com:monitor-diagnosticsSettingsCategories_API",1,0,0,0,0,1,2,4,3
"365","azure.com:monitor-diagnosticsSettings_API",1,0,0,0,0,1,2,4,3
"366","azure.com:monitor-eventCategories_API",1,0,0,0,0,1,2,4,3
"367","azure.com:monitor-logProfiles_API",1,0,0,0,0,1,2,4,3
"368","azure.com:monitor-metricDefinitions_API",1,0,0,0,0,1,2,4,3
"369","azure.com:monitor-metrics_API",1,0,0,0,0,1,2,4,3
"370","azure.com:monitor-operations_API",1,0,0,0,0,1,2,4,3
"371","azure.com:monitor-serviceDiagnosticsSettings_API",1,0,0,0,0,1,2,4,3
"372","azure.com:monitor-tenantActivityLogs_API",1,0,0,0,0,1,2,4,3
"373","azure.com:msi-ManagedIdentity",1,1,0,0,0,1,3,3,3
"374","azure.com:mysql",1,1,0,0,0,1,3,3,3
"375","azure.com:network",1,1,0,0,0,1,3,3,3
"376","azure.com:network-applicationGateway",1,1,0,0,0,1,3,3,3
"377","azure.com:network-applicationSecurityGroup",1,1,0,0,0,1,3,3,3
"378","azure.com:network-checkDnsAvailability",1,1,0,0,0,1,3,3,3
"379","azure.com:network-endpointService",1,1,0,0,0,1,3,3,3
"380","azure.com:network-expressRouteCircuit",1,1,0,0,0,1,3,3,3
"381","azure.com:network-loadBalancer",1,1,0,0,0,1,3,3,3
"382","azure.com:network-networkInterface",1,1,0,0,0,1,3,3,3
"383","azure.com:network-networkSecurityGroup",1,1,0,0,0,1,3,3,3
