,title,description,termsOfService,contact,license,version
azure.com:sql-backups,1,1,0,0,0,1
azure.com:sql-blobAuditingPolicies,1,1,0,0,0,1
azure.com:sql-cancelOperations,1,1,0,0,0,1
azure.com:sql-cancelPoolOperations,1,1,0,0,0,1
azure.com:sql-capabilities,1,1,0,0,0,1
azure.com:sql-checkNameAvailability,1,1,0,0,0,1
azure.com:sql-connectionPolicies,1,1,0,0,0,1
azure.com:sql-dataMasking,1,1,0,0,0,1
azure.com:sql-dataWarehouseUserActivities,1,1,0,0,0,1
azure.com:sql-databaseAutomaticTuning,1,1,0,0,0,1
azure.com:sql-databaseSecurityAlertPolicies,1,1,0,0,0,1
azure.com:sql-databases,1,1,0,0,0,1
azure.com:sql-deprecated,1,1,0,0,0,1
azure.com:sql-disasterRecoveryConfigurations,1,1,0,0,0,1
azure.com:sql-elasticPools,1,1,0,0,0,1
azure.com:sql-encryptionProtectors,1,1,0,0,0,1
azure.com:sql-failoverGroups,1,1,0,0,0,1
azure.com:sql-firewallRules,1,1,0,0,0,1
azure.com:sql-geoBackupPolicies,1,1,0,0,0,1
azure.com:sql-importExport,1,1,0,0,0,1
azure.com:sql-managedDatabases,1,1,0,0,0,1
azure.com:sql-metrics,1,1,0,0,0,1
azure.com:sql-operations,1,1,0,0,0,1
azure.com:sql-queries,1,1,0,0,0,1
azure.com:sql-renameDatabase,1,1,0,0,0,1
azure.com:sql-replicationLinks,1,1,0,0,0,1
azure.com:sql-restorePoints,1,1,0,0,0,1
azure.com:sql-serverAutomaticTuning,1,1,0,0,0,1
azure.com:sql-serverAzureADAdministrators,1,1,0,0,0,1
azure.com:sql-serverCommunicationLinks,1,1,0,0,0,1
azure.com:sql-serverDnsAliases,1,1,0,0,0,1
azure.com:sql-serverKeys,1,1,0,0,0,1
azure.com:sql-servers,1,1,0,0,0,1
azure.com:sql-serviceObjectives,1,1,0,0,0,1
azure.com:sql-sql.core,1,1,0,0,0,1
azure.com:sql-syncAgents,1,1,0,0,0,1
azure.com:sql-syncGroups,1,1,0,0,0,1
azure.com:sql-syncMembers,1,1,0,0,0,1
azure.com:sql-tableAuditing,1,1,0,0,0,1
azure.com:sql-usages,1,1,0,0,0,1
azure.com:sql-virtualNetworkRules,1,1,0,0,0,1
azure.com:storage,1,1,0,0,0,1
azure.com:storageimportexport,1,1,0,0,0,1
azure.com:storsimple8000series-storsimple,1,0,0,0,0,1
azure.com:streamanalytics-functions,1,0,0,0,0,1
azure.com:streamanalytics-inputs,1,0,0,0,0,1
azure.com:streamanalytics-outputs,1,0,0,0,0,1
azure.com:streamanalytics-streamingjobs,1,0,0,0,0,1
azure.com:streamanalytics-subscriptions,1,0,0,0,0,1
azure.com:streamanalytics-transformations,1,0,0,0,0,1
azure.com:subscription-subscriptionDefinitions,1,1,0,0,0,1
azure.com:timeseriesinsights,1,1,0,0,0,1
azure.com:trafficmanager,1,0,0,0,0,1
azure.com:trafficmanager-trafficmanageranalytics,1,0,0,0,0,1
azure.com:visualstudio-Csm,1,1,0,0,0,1
azure.com:web-AppServiceCertificateOrders,1,0,0,0,0,1
azure.com:web-AppServiceEnvironments,1,0,0,0,0,1
azure.com:web-AppServicePlans,1,0,0,0,0,1
azure.com:web-CertificateRegistrationProvider,1,0,0,0,0,1
azure.com:web-Certificates,1,0,0,0,0,1
azure.com:web-DeletedWebApps,1,0,0,0,0,1
azure.com:web-Diagnostics,1,0,0,0,0,1
azure.com:web-DomainRegistrationProvider,1,0,0,0,0,1
azure.com:web-Domains,1,0,0,0,0,1
azure.com:web-Provider,1,0,0,0,0,1
azure.com:web-Recommendations,1,0,0,0,0,1
