,0
azure.com:sql-backupLongTermRetentionVaults,cloud
azure.com:sql-backups,cloud
azure.com:sql-blobAuditingPolicies,cloud
azure.com:sql-cancelOperations,cloud
azure.com:sql-cancelPoolOperations,cloud
azure.com:sql-capabilities,cloud
azure.com:sql-checkNameAvailability,cloud
azure.com:sql-connectionPolicies,cloud
azure.com:sql-dataMasking,cloud
azure.com:sql-dataWarehouseUserActivities,cloud
azure.com:sql-databaseAutomaticTuning,cloud
azure.com:sql-databaseSecurityAlertPolicies,cloud
azure.com:sql-databases,cloud
azure.com:sql-deprecated,cloud
azure.com:sql-disasterRecoveryConfigurations,cloud
azure.com:sql-elasticPools,cloud
azure.com:sql-encryptionProtectors,cloud
azure.com:sql-failoverGroups,cloud
azure.com:sql-firewallRules,cloud
azure.com:sql-geoBackupPolicies,cloud
azure.com:sql-importExport,cloud
azure.com:sql-managedDatabases,cloud
azure.com:sql-metrics,cloud
azure.com:sql-operations,cloud
azure.com:sql-queries,cloud
azure.com:sql-renameDatabase,cloud
azure.com:sql-replicationLinks,cloud
azure.com:sql-restorePoints,cloud
azure.com:sql-serverAutomaticTuning,cloud
azure.com:sql-serverAzureADAdministrators,cloud
azure.com:sql-serverCommunicationLinks,cloud
azure.com:sql-serverDnsAliases,cloud
azure.com:sql-serverKeys,cloud
azure.com:sql-servers,cloud
azure.com:sql-serviceObjectives,cloud
azure.com:sql-sql.core,cloud
azure.com:sql-syncAgents,cloud
azure.com:sql-syncGroups,cloud
azure.com:sql-syncMembers,cloud
azure.com:sql-tableAuditing,cloud
azure.com:sql-usages,cloud
azure.com:sql-virtualNetworkRules,cloud
azure.com:storage,cloud
azure.com:storageimportexport,cloud
azure.com:storsimple8000series-storsimple,cloud
azure.com:streamanalytics-functions,cloud
azure.com:streamanalytics-inputs,cloud
azure.com:streamanalytics-outputs,cloud
azure.com:streamanalytics-streamingjobs,cloud
azure.com:streamanalytics-subscriptions,cloud
azure.com:streamanalytics-transformations,cloud
azure.com:subscription-subscriptionDefinitions,cloud
azure.com:timeseriesinsights,cloud
azure.com:trafficmanager,cloud
azure.com:trafficmanager-trafficmanageranalytics,cloud
azure.com:visualstudio-Csm,cloud
azure.com:web-AppServiceCertificateOrders,cloud
azure.com:web-AppServiceEnvironments,cloud
azure.com:web-AppServicePlans,cloud
azure.com:web-CertificateRegistrationProvider,cloud
azure.com:web-Certificates,cloud
azure.com:web-DeletedWebApps,cloud
azure.com:web-Diagnostics,cloud
azure.com:web-DomainRegistrationProvider,cloud
azure.com:web-Domains,cloud
azure.com:web-Provider,cloud
azure.com:web-Recommendations,cloud
azure.com:web-ResourceProvider,cloud
azure.com:web-TopLevelDomains,cloud
azure.com:web-WebApps,cloud
azure.com:web-logicAppsManagementClient,cloud
azure.com:web-service,cloud
bbc.co.uk,media
bbc.com,media
bbci.co.uk,media
bclaws.ca:bclaws,open_data
beanstream.com,payment
beezup.com,ecommerce
betfair.com,entertainment
bhagavadgita.io,open_data
bikewise.org,open_data
bitbucket.org,developer_tools
blazemeter.com,developer_tools
bluemix.net:containers,developer_tools
botify.com,analytics
box.com:authorization,cloud
box.com:content,cloud
box.com:token,cloud
box.com:upload,cloud
brandlovers.com,ecommerce
brex.io,financial
browshot.com,tools
bufferapp.com,social
bulksms.com,telecom
bungie.net,media
callfire.com,telecom
carbondoomsday.com,open_data
ccp.is,media
channel4.com,media
circleci.com,developer_tools
circuitsandbox.net,messaging
cisco.com,security
citrixonline.com:gotomeeting,collaboration
citycontext.com,open_data
clarify.io,search
clever-cloud.com,cloud
clever.com,education
clickmeter.com,marketing
cloudmersive.com:ocr,text
cnab-online.herokuapp.com,financial
code-scan.com,developer_tools
consumerfinance.gov,financial
core.ac.uk,open_data
cybertaxonomy.eu,open_data
dataatwork.org,open_data
datumbox.com,machine_learning
deeparteffects.com,media
deutschebahn.com:betriebsstellen,transport
deutschebahn.com:fahrplan,transport
deutschebahn.com:fasta,transport
deutschebahn.com:flinkster,transport
deutschebahn.com:reisezentren,transport
deutschebahn.com:stada,transport
digitallinguistics.io,text
docker.com:engine,developer_tools
docusign.net,ecommerce
domainsdb.info,hosting
dracoon.team,cloud
dropx.io,ecommerce
dweet.io,iot
ebay.com:buy-browse,ecommerce
ebay.com:buy-feed,ecommerce
ebay.com:buy-marketing,ecommerce
ebay.com:commerce-taxonomy,ecommerce
ebay.com:sell-fulfillment,ecommerce
envoice.in,financial
epa.gov:air,open_data
epa.gov:case,open_data
epa.gov:cwa,open_data
epa.gov:dfr,open_data
epa.gov:echo,open_data
epa.gov:eff,open_data
epa.gov:rcra,open_data
epa.gov:sdw,open_data
etmdb.com,media
europeana.eu,open_data
exavault.com,storage
fantasydata.net:cbb-v3-scores,entertainment
fantasydata.net:cbb-v3-stats,entertainment
fantasydata.net:cfb-v3-scores,entertainment
fantasydata.net:golf-v2,entertainment
fantasydata.net:mlb-v3-play-by-play,entertainment
fantasydata.net:mlb-v3-projections,entertainment
fantasydata.net:mlb-v3-projections-dfsr,entertainment
fantasydata.net:mlb-v3-rotoballer-articles,entertainment
fantasydata.net:mlb-v3-rotoballer-premium-news,entertainment
fantasydata.net:mlb-v3-scores,entertainment
fantasydata.net:mlb-v3-stats,entertainment
fantasydata.net:nascar-v2,entertainment
fantasydata.net:nba-v3-play-by-play,entertainment
fantasydata.net:nba-v3-projections,entertainment
fantasydata.net:nba-v3-rotoballer-articles,entertainment
fantasydata.net:nba-v3-rotoballer-premium-news,entertainment
fantasydata.net:nba-v3-scores,entertainment
fantasydata.net:nba-v3-stats,entertainment
fantasydata.net:nfl-v3-play-by-play,entertainment
fantasydata.net:nfl-v3-projections,entertainment
fantasydata.net:nfl-v3-projections-dfsr,entertainment
fantasydata.net:nfl-v3-rotoballer-articles,entertainment
fantasydata.net:nfl-v3-rotoballer-premium-news,entertainment
fantasydata.net:nfl-v3-scores,entertainment
fantasydata.net:nfl-v3-stats,entertainment
fantasydata.net:nhl-v3-play-by-play,entertainment
fantasydata.net:nhl-v3-projections,entertainment
fantasydata.net:nhl-v3-scores,entertainment
fantasydata.net:nhl-v3-stats,entertainment
fantasydata.net:soccer-v3-projections,entertainment
fantasydata.net:soccer-v3-scores,entertainment
fantasydata.net:soccer-v3-stats,entertainment
figshare.com,open_data
firebrowse.org,open_data
flat.io,media
flickr.com,media
formapi.io,text
freesound.org,media
funtranslations.com,text
furkot.com,location
geneea.com,text
getsandbox.com,developer_tools
gettyimages.com,media
giphy.com,media
gisgraphy.com,location
github.com,collaboration
gitlab.com,developer_tools
googleapis.com:admin,analytics
googleapis.com:analytics,analytics
googleapis.com:analyticsreporting,analytics
googleapis.com:androidpublisher,developer_tools
googleapis.com:bigquery,search
googleapis.com:blogger,social
googleapis.com:books,media
googleapis.com:calendar,time_management
googleapis.com:classroom,education
googleapis.com:cloudkms,security
googleapis.com:cloudmonitoring,monitoring
googleapis.com:content,ecommerce
googleapis.com:customsearch,search
googleapis.com:datastore,storage
googleapis.com:discovery,developer_tools
googleapis.com:dlp,cloud
googleapis.com:dns,cloud
googleapis.com:doubleclickbidmanager,marketing
googleapis.com:doubleclicksearch,marketing
googleapis.com:drive,storage
googleapis.com:firebasedynamiclinks,backend
googleapis.com:firebaseremoteconfig,backend
googleapis.com:firebaserules,backend
googleapis.com:firestore,backend
googleapis.com:fusiontables,cloud
googleapis.com:games,social
googleapis.com:gamesConfiguration,social
googleapis.com:gamesManagement,social
googleapis.com:gmail,email
googleapis.com:groupsmigration,cloud
googleapis.com:groupssettings,cloud
googleapis.com:iam,security
googleapis.com:identitytoolkit,security
googleapis.com:kgsearch,search
googleapis.com:language,text
googleapis.com:licensing,enterprise
googleapis.com:logging,cloud
googleapis.com:manufacturers,marketing
googleapis.com:ml,machine_learning
googleapis.com:monitoring,monitoring
googleapis.com:oauth2,security
googleapis.com:oslogin,backend
googleapis.com:pagespeedonline,tools
googleapis.com:people,social
googleapis.com:playcustomapp,developer_tools
googleapis.com:playmoviespartner,media
googleapis.com:plus,social
googleapis.com:plusDomains,social
googleapis.com:prediction,machine_learning
googleapis.com:proximitybeacon,iot
googleapis.com:pubsub,messaging
googleapis.com:replicapool,backend
googleapis.com:replicapoolupdater,backend
googleapis.com:reseller,enterprise
googleapis.com:resourceviews,backend
googleapis.com:runtimeconfig,cloud
googleapis.com:safebrowsing,security
googleapis.com:script,cloud
googleapis.com:searchconsole,search
googleapis.com:servicecontrol,cloud
googleapis.com:servicemanagement,cloud
googleapis.com:serviceuser,cloud
googleapis.com:sheets,cloud
googleapis.com:siteVerification,developer_tools
googleapis.com:slides,cloud
googleapis.com:sourcerepo,developer_tools
googleapis.com:spanner,backend
googleapis.com:spectrum,telecom
googleapis.com:speech,machine_learning
googleapis.com:sqladmin,backend
googleapis.com:storage,storage
googleapis.com:storagetransfer,storage
googleapis.com:streetviewpublish,location
googleapis.com:tagmanager,analytics
googleapis.com:taskqueue,backend
googleapis.com:tasks,time_management
googleapis.com:testing,developer_tools
googleapis.com:translate,text
googleapis.com:urlshortener,tools
googleapis.com:vault,storage
googleapis.com:videointelligence,media
googleapis.com:vision,machine_learning
googleapis.com:webfonts,developer_tools
googleapis.com:webmasters,search
googleapis.com:youtube,media
googleapis.com:youtubeAnalytics,analytics
googleapis.com:youtubereporting,analytics
gov.bc.ca:bcdc,open_data
gov.bc.ca:bcgnws,open_data
gov.bc.ca:geocoder,open_data
gov.bc.ca:geomark,open_data
gov.bc.ca:gwells,open_data
gov.bc.ca:jobposting,open_data
gov.bc.ca:news,open_data
gov.bc.ca:open511,open_data
gov.bc.ca:router,open_data
graphhopper.com,location
greenpeace.org,collaboration
hackathonwatch.com,social
haloapi.com:metadata,entertainment
haloapi.com:profile,entertainment
haloapi.com:stats,entertainment
haloapi.com:ugc,entertainment
healthcare.gov,open_data
hhs.gov,open_data
highwaysengland.co.uk,open_data
hillbillysoftware.com:shinobi,media
hsbc.com,financial
icons8.com,media
idtbeyond.com,telecom
ijenko.net,iot
illumidesk.com,open_data
import.io:data,tools
import.io:extraction,tools
import.io:rss,tools
import.io:run,tools
import.io:schedule,tools
inboxroute.com,email
instagram.com,social
instawell.com,social
iqualify.com,education
isbndb.com,open_data
isendpro.com,messaging
iva-api.com,media
je-apis.com,ecommerce
jirafe.com,marketing
jumpseller.com,ecommerce
just-eat.co.uk,ecommerce
koomalooma.com,ecommerce
kubernetes.io,developer_tools
landregistry.gov.uk:deed,open_data
launchdarkly.com,developer_tools
learnifier.com,education
letmc.com:basic-tier,ecommerce
letmc.com:customer,ecommerce
letmc.com:diary,ecommerce
letmc.com:free-tier,ecommerce
letmc.com:maintenance,ecommerce
letmc.com:reporting,ecommerce
link.fish,developer_tools
lotadata.com,location
lufthansa.com:partner,transport
lufthansa.com:public,transport
lyft.com,location
magento.com,ecommerce
magick.nu,financial
mandrillapp.com,email
mashape.com:geodb,developer_tools
mcw.edu,open_data
medium.com,media
miataru.com,location
microsoft.com:cognitiveservices-CustomSearch,cloud
microsoft.com:cognitiveservices-EntitySearch,cloud
