"","X","swagger","info","host","basePath","schemes","consumes","produces","paths","definitions","parameters","responses","securityDefinitions","security","tags","externalDocs","cluster.results$cluster"
"26","amazonaws.com:cloudhsm",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"27","amazonaws.com:cloudhsmv2",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"28","amazonaws.com:cloudsearch",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"29","amazonaws.com:cloudsearchdomain",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"30","amazonaws.com:cloudtrail",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"31","amazonaws.com:codebuild",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"32","amazonaws.com:codecommit",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"33","amazonaws.com:codedeploy",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"34","amazonaws.com:codepipeline",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"35","amazonaws.com:codestar",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"36","amazonaws.com:cognito-identity",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"37","amazonaws.com:cognito-idp",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"38","amazonaws.com:cognito-sync",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"39","amazonaws.com:comprehend",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"40","amazonaws.com:config",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"41","amazonaws.com:cur",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"42","amazonaws.com:datapipeline",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"43","amazonaws.com:dax",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"44","amazonaws.com:devicefarm",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"45","amazonaws.com:directconnect",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"46","amazonaws.com:discovery",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"47","amazonaws.com:dms",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"48","amazonaws.com:ds",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"49","amazonaws.com:dynamodb",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"50","amazonaws.com:ec2",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"51","amazonaws.com:ecr",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"52","amazonaws.com:ecs",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"53","amazonaws.com:elasticache",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"54","amazonaws.com:elasticbeanstalk",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"55","amazonaws.com:elasticfilesystem",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"56","amazonaws.com:elasticloadbalancing",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"57","amazonaws.com:elasticloadbalancingv2",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"58","amazonaws.com:elasticmapreduce",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"59","amazonaws.com:elastictranscoder",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"60","amazonaws.com:email",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"61","amazonaws.com:entitlement.marketplace",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"62","amazonaws.com:es",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"63","amazonaws.com:events",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"64","amazonaws.com:firehose",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"65","amazonaws.com:gamelift",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"66","amazonaws.com:glacier",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"67","amazonaws.com:glue",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"68","amazonaws.com:greengrass",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"69","amazonaws.com:guardduty",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"70","amazonaws.com:health",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"71","amazonaws.com:iam",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"72","amazonaws.com:importexport",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"73","amazonaws.com:inspector",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"74","amazonaws.com:iot",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"75","amazonaws.com:iot-data",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"76","amazonaws.com:iot-jobs-data",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"77","amazonaws.com:kinesis",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"78","amazonaws.com:kinesis-video-archived-media",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"79","amazonaws.com:kinesis-video-media",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"80","amazonaws.com:kinesisanalytics",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"81","amazonaws.com:kinesisvideo",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"82","amazonaws.com:kms",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"83","amazonaws.com:lambda",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"84","amazonaws.com:lex-models",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"85","amazonaws.com:lightsail",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"86","amazonaws.com:logs",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"87","amazonaws.com:machinelearning",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
"88","amazonaws.com:marketplacecommerceanalytics",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,3
