,implemented fields,missing fields,clusters
azure.com:cognitiveservices-ComputerVision,10,5,1
azure.com:cognitiveservices-ContentModerator,10,5,1
azure.com:cognitiveservices-Face,10,5,1
azure.com:cognitiveservices-LUIS-Programmatic,10,5,1
azure.com:cognitiveservices-LUIS-Runtime,10,5,1
azure.com:cognitiveservices-TextAnalytics,11,4,0
azure.com:commerce,9,6,3
azure.com:compute,11,4,0
azure.com:compute-containerService,11,4,0
azure.com:compute-disk,11,4,0
azure.com:compute-runCommands,11,4,0
azure.com:compute-skus,11,4,0
azure.com:compute-swagger,11,4,0
azure.com:consumption,12,3,5
azure.com:containerinstance-containerInstance,11,4,0
azure.com:containerregistry,11,4,0
azure.com:containerservices-containerService,11,4,0
azure.com:containerservices-location,11,4,0
azure.com:containerservices-managedClusters,11,4,0
azure.com:cosmos-db,11,4,0
azure.com:customer-insights,11,4,0
azure.com:datacatalog,10,5,1
azure.com:datafactory,11,4,0
azure.com:datalake-analytics-account,11,4,0
azure.com:datalake-analytics-catalog,9,6,3
azure.com:datalake-analytics-job,9,6,3
azure.com:datalake-store-account,11,4,0
azure.com:datalake-store-filesystem,9,6,3
azure.com:datamigration,11,4,0
azure.com:deviceprovisioningservices-iotdps,11,4,0
azure.com:devtestlabs-DTL,11,4,0
azure.com:dns,10,5,1
azure.com:domainservices,10,5,1
azure.com:eventgrid-EventGrid,10,5,1
azure.com:eventhub-EventHub,11,4,0
azure.com:hanaonazure,10,5,1
azure.com:hdinsight-applications,11,4,0
azure.com:hdinsight-capabilities,11,4,0
azure.com:hdinsight-cluster,11,4,0
azure.com:hdinsight-configurations,11,4,0
azure.com:hdinsight-extensions,11,4,0
azure.com:hdinsight-operations,11,4,0
azure.com:hdinsight-scriptActions,11,4,0
azure.com:intune,9,6,3
azure.com:iothub,11,4,0
azure.com:keyvault,9,6,3
azure.com:keyvault-providers,10,5,1
azure.com:keyvault-secrets,10,5,1
azure.com:locationbasedservices,11,4,0
azure.com:logic,11,4,0
azure.com:machinelearning-commitmentPlans,10,5,1
azure.com:machinelearning-webservices,10,5,1
azure.com:machinelearning-workspaces,11,4,0
azure.com:machinelearningcompute-machineLearningCompute,10,5,1
azure.com:machinelearningexperimentation-machineLearningExperimentation,11,4,0
azure.com:managementgroups-management,12,3,5
azure.com:managementpartner-ManagementPartner,10,5,1
azure.com:marketplaceordering-Agreements,11,4,0
azure.com:mediaservices-media,11,4,0
azure.com:migrate,11,4,0
azure.com:mobileengagement-mobile-engagement,11,4,0
azure.com:monitor-actionGroups_API,11,4,0
azure.com:monitor-activityLogAlerts_API,11,4,0
azure.com:monitor-activityLogs_API,11,4,0
azure.com:monitor-alertRulesIncidents_API,11,4,0
azure.com:monitor-alertRules_API,11,4,0
azure.com:monitor-autoscale_API,11,4,0
azure.com:monitor-baseline_API,11,4,0
azure.com:monitor-calculateBaseline_API,11,4,0
azure.com:monitor-diagnosticsSettingsCategories_API,11,4,0
azure.com:monitor-diagnosticsSettings_API,11,4,0
azure.com:monitor-eventCategories_API,11,4,0
azure.com:monitor-logProfiles_API,11,4,0
azure.com:monitor-metricDefinitions_API,11,4,0
azure.com:monitor-metrics_API,11,4,0
azure.com:monitor-operations_API,11,4,0
azure.com:monitor-serviceDiagnosticsSettings_API,11,4,0
azure.com:monitor-tenantActivityLogs_API,11,4,0
azure.com:msi-ManagedIdentity,11,4,0
azure.com:mysql,11,4,0
azure.com:network,11,4,0
azure.com:network-applicationGateway,11,4,0
azure.com:network-applicationSecurityGroup,11,4,0
azure.com:network-checkDnsAvailability,11,4,0
azure.com:network-endpointService,11,4,0
azure.com:network-expressRouteCircuit,11,4,0
azure.com:network-loadBalancer,11,4,0
azure.com:network-networkInterface,11,4,0
azure.com:network-networkSecurityGroup,11,4,0
azure.com:network-networkWatcher,11,4,0
azure.com:network-operation,11,4,0
azure.com:network-publicIpAddress,11,4,0
azure.com:network-routeFilter,11,4,0
azure.com:network-routeTable,11,4,0
azure.com:network-serviceCommunity,11,4,0
azure.com:network-usage,11,4,0
azure.com:network-virtualNetwork,11,4,0
azure.com:network-virtualNetworkGateway,11,4,0
azure.com:network-vmssNetworkInterface,11,4,0
azure.com:network-vmssPublicIpAddress,11,4,0
azure.com:notificationhubs,11,4,0
azure.com:operationalinsights-OperationalInsights,11,4,0
azure.com:operationsmanagement-OperationsManagement,11,4,0
azure.com:policyinsights-policyEvents,10,5,1
azure.com:policyinsights-policyStates,10,5,1
azure.com:postgresql,11,4,0
azure.com:powerbidedicated,11,4,0
azure.com:powerbiembedded,9,6,3
azure.com:provisioningservices-iotdps,11,4,0
azure.com:recoveryservices-backup,11,4,0
azure.com:recoveryservices-registeredidentities,11,4,0
