"","X","paths","operations","pam_fit$clustering"
"418","azure.com:recoveryservicesbackup",29,33,4
"419","azure.com:recoveryservicesbackup-backupManagement",32,38,12
"420","azure.com:recoveryservicesbackup-bms",30,38,12
"421","azure.com:recoveryservicesbackup-jobs",2,2,1
"422","azure.com:recoveryservicesbackup-operations",1,1,8
"423","azure.com:recoveryservicesbackup-registeredIdentities",1,1,8
"424","azure.com:recoveryservicessiterecovery-service",78,102,11
"425","azure.com:redis",6,8,13
"426","azure.com:relay",21,40,12
"427","azure.com:reservations",10,11,2
"428","azure.com:resourcehealth",5,5,17
"429","azure.com:resources",27,46,12
"430","azure.com:resources-features",4,4,14
"431","azure.com:resources-links",3,5,17
"432","azure.com:resources-locks",6,11,2
"433","azure.com:resources-managedapplications",7,17,16
"434","azure.com:resources-management",3,3,6
"435","azure.com:resources-policy",7,13,2
"436","azure.com:resources-policyAssignments",5,9,13
"437","azure.com:resources-policyDefinitions",6,10,13
"438","azure.com:resources-policySetDefinitions",6,10,13
"439","azure.com:resources-subscriptions",4,4,14
"440","azure.com:scheduler",9,15,16
"441","azure.com:search",4,5,17
"442","azure.com:search-searchindex",1,1,8
"443","azure.com:search-searchservice",10,19,9
"444","azure.com:servermanagement",15,25,4
"445","azure.com:service-map-arm-service-map",22,25,4
"446","azure.com:servicebus",21,41,12
"447","azure.com:servicefabric",77,77,11
"448","azure.com:sql-Databases",6,9,13
"449","azure.com:sql-advisors",2,3,6
"450","azure.com:sql-backupLongTermRetentionPolicies",2,3,6
"451","azure.com:sql-backupLongTermRetentionVaults",2,3,6
"452","azure.com:sql-backups",4,4,14
"453","azure.com:sql-blobAuditingPolicies",1,2,1
"454","azure.com:sql-cancelOperations",2,2,1
"455","azure.com:sql-cancelPoolOperations",2,2,1
"456","azure.com:sql-capabilities",1,1,8
"457","azure.com:sql-checkNameAvailability",1,1,8
"458","azure.com:sql-connectionPolicies",1,2,1
"459","azure.com:sql-dataMasking",3,4,14
"460","azure.com:sql-dataWarehouseUserActivities",1,1,8
"461","azure.com:sql-databaseAutomaticTuning",1,2,1
"462","azure.com:sql-databaseSecurityAlertPolicies",1,2,1
"463","azure.com:sql-databases",8,11,2
"464","azure.com:sql-deprecated",2,2,1
"465","azure.com:sql-disasterRecoveryConfigurations",4,6,5
"466","azure.com:sql-elasticPools",2,5,17
"467","azure.com:sql-encryptionProtectors",2,3,6
"468","azure.com:sql-failoverGroups",4,7,5
"469","azure.com:sql-firewallRules",2,4,14
"470","azure.com:sql-geoBackupPolicies",2,3,6
"471","azure.com:sql-importExport",3,3,6
"472","azure.com:sql-managedDatabases",3,6,5
"473","azure.com:sql-metrics",4,4,14
"474","azure.com:sql-operations",1,1,8
"475","azure.com:sql-queries",3,3,6
"476","azure.com:sql-renameDatabase",1,1,8
"477","azure.com:sql-replicationLinks",4,5,17
"478","azure.com:sql-restorePoints",1,1,8
"479","azure.com:sql-serverAutomaticTuning",1,2,1
"480","azure.com:sql-serverAzureADAdministrators",2,4,14
"481","azure.com:sql-serverCommunicationLinks",2,4,14
"482","azure.com:sql-serverDnsAliases",3,5,17
"483","azure.com:sql-serverKeys",2,4,14
"484","azure.com:sql-servers",3,6,5
"485","azure.com:sql-serviceObjectives",2,2,1
"486","azure.com:sql-sql.core",9,10,13
"487","azure.com:sql-syncAgents",4,6,5
"488","azure.com:sql-syncGroups",8,11,2
"489","azure.com:sql-syncMembers",4,7,5
"490","azure.com:sql-tableAuditing",5,8,13
"491","azure.com:sql-usages",2,2,1
"492","azure.com:sql-virtualNetworkRules",2,4,14
"493","azure.com:storage",7,10,13
"494","azure.com:storageimportexport",7,10,13
"495","azure.com:storsimple8000series-storsimple",66,92,10
"496","azure.com:streamanalytics-functions",4,7,5
"497","azure.com:streamanalytics-inputs",3,6,5
"498","azure.com:streamanalytics-outputs",3,6,5
"499","azure.com:streamanalytics-streamingjobs",6,9,13
"500","azure.com:streamanalytics-subscriptions",1,1,8
"501","azure.com:streamanalytics-transformations",1,3,6
"502","azure.com:subscription-subscriptionDefinitions",4,5,17
"503","azure.com:timeseriesinsights",10,22,9
"504","azure.com:trafficmanager",5,11,2
"505","azure.com:trafficmanager-trafficmanageranalytics",2,4,14
"506","azure.com:visualstudio-Csm",9,16,16
"507","azure.com:web-AppServiceCertificateOrders",14,20,9
"508","azure.com:web-AppServiceEnvironments",32,39,12
"509","azure.com:web-AppServicePlans",21,29,4
"510","azure.com:web-CertificateRegistrationProvider",1,1,8
"511","azure.com:web-Certificates",3,6,5
"512","azure.com:web-DeletedWebApps",1,1,8
"513","azure.com:web-Diagnostics",16,16,16
"514","azure.com:web-DomainRegistrationProvider",1,1,8
"515","azure.com:web-Domains",9,15,16
"516","azure.com:web-Provider",3,3,6
"517","azure.com:web-Recommendations",9,9,13
"518","azure.com:web-ResourceProvider",13,15,16
"519","azure.com:web-TopLevelDomains",3,3,6
"520","azure.com:web-WebApps",224,311,15
"521","azure.com:web-logicAppsManagementClient",7,9,13
"522","azure.com:web-service",213,295,15
"523","bbc.co.uk",45,75,10
"524","bbc.com",25,25,4
"525","bbci.co.uk",30,30,4
"526","bclaws.ca:bclaws",7,7,5
"527","beanstream.com",11,15,16
"528","beezup.com",155,181,7
"529","betfair.com",1,1,8
"530","bhagavadgita.io",6,6,5
"531","bigoven.com",49,63,3
"532","bikewise.org",4,4,14
"533","bitbucket.org",112,278,7
"534","blazemeter.com",11,14,16
"535","bluemix.net:containers",41,47,3
"536","botify.com",30,62,3
"537","box.com:authorization",1,1,8
"538","box.com:content",77,127,11
"539","box.com:token",2,2,1
"540","box.com:upload",7,9,13
"541","brandlovers.com",31,36,12
"542","brex.io",24,25,4
"543","browshot.com",17,17,16
"544","bufferapp.com",18,18,9
"545","bulksms.com",7,12,2
"546","bungie.net",94,94,11
"547","callfire.com",80,111,11
"548","cambase.io",8,17,16
"549","carbondoomsday.com",2,4,14
"550","ccp.is",191,206,15
"551","cenit.io",20,40,12
"552","channel4.com",68,68,3
"553","circleci.com",17,35,4
"554","circuitsandbox.net",37,52,3
"555","cisco.com",19,19,9
"556","citrixonline.com:gotomeeting",18,26,4
"557","citrixonline.com:scim",7,17,16
"558","citycontext.com",3,3,6
"559","clarify.io",10,21,9
"560","clever-cloud.com",188,274,15
"561","clever.com",44,44,3
"562","clickmeter.com",79,108,11
"563","cloudmersive.com:ocr",1,1,8
"564","cnab-online.herokuapp.com",4,4,14
"565","code-scan.com",1,2,1
"566","consumerfinance.gov",6,6,5
"567","core.ac.uk",17,17,16
"568","cybertaxonomy.eu",2,2,1
"569","data.gov",3,3,6
"570","data2crm.com",53,95,10
"571","dataatwork.org",13,13,2
"572","datumbox.com",14,14,16
"573","deeparteffects.com",3,3,6
"574","deutschebahn.com:betriebsstellen",2,2,1
"575","deutschebahn.com:fahrplan",4,4,14
"576","deutschebahn.com:fasta",5,5,17
"577","deutschebahn.com:flinkster",10,10,13
"578","deutschebahn.com:reisezentren",4,4,14
